RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
6144,15654096,Johnston,779,Germany,Female,24.0,10,122200.31,2,1.0,0.0,43705.56,0
6145,15617320,Palermo,693,Spain,Female,46.0,3,151709.33,1,1.0,0.0,180736.24,0
6146,15653065,Nwabugwu,530,Spain,Female,22.0,7,0.0,2,1.0,0.0,104170.48,0
6147,15649112,Endrizzi,738,Spain,Female,33.0,3,122134.4,2,0.0,1.0,27867.59,0
6148,15690526,Tuan,690,Germany,Male,31.0,2,137260.45,2,1.0,0.0,55387.28,0
6149,15806945,Udobata,611,France,Female,30.0,9,88594.14,1,1.0,0.0,196332.45,0
6150,15670066,Ibezimako,643,Spain,Male,34.0,6,0.0,2,1.0,1.0,116046.22,0
6151,15625761,Maclean,632,Germany,Male,41.0,8,127205.32,4,1.0,0.0,93874.87,1
6152,15761525,Shaw,727,Spain,Female,31.0,10,96997.09,2,0.0,0.0,76614.04,0
6153,15735080,Cummins,508,France,Female,64.0,2,0.0,1,1.0,1.0,6076.62,0
6154,15619537,Lavrentiev,550,France,Male,31.0,5,142200.19,2,1.0,1.0,122221.71,0
6155,15598162,Saunders,754,Germany,Female,39.0,3,160761.41,1,1.0,1.0,24156.03,0
6156,15694300,Fiorentino,759,France,Male,26.0,4,0.0,2,1.0,0.0,135394.62,0
6157,15637235,Knight,794,Spain,Male,33.0,8,0.0,2,0.0,0.0,91340.02,0
6158,15612444,Manfrin,549,France,Male,29.0,3,0.0,2,1.0,0.0,146090.38,0
6159,15626457,Zetticci,671,France,Male,31.0,0,116234.61,1,1.0,0.0,172096.08,0
6160,15627995,Angelo,756,Germany,Female,26.0,5,155143.52,1,0.0,1.0,135034.57,1
6161,15706128,Zhdanov,632,France,Female,21.0,1,0.0,2,1.0,0.0,84008.66,0
6162,15666430,Peck,579,France,Male,38.0,8,0.0,2,0.0,0.0,91763.67,0
6163,15627385,Uwaezuoke,748,France,Male,34.0,5,84009.47,1,1.0,1.0,137001.1,0
