RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
7338.0,15646082.0,Harding,676.0,France,Female,34.0,8.0,82909.14,1.0,1.0,0.0,91817.38,1.0
7339.0,15796111.0,Smith,708.0,Germany,Female,54.0,8.0,145151.4,1.0,0.0,1.0,125311.17,1.0
7340.0,15670646.0,Moore,499.0,Spain,Female,42.0,0.0,147187.84,1.0,1.0,1.0,14868.94,1.0
7341.0,15578722.0,Bradley,689.0,France,Male,39.0,4.0,0.0,2.0,1.0,0.0,196112.45,0.0
7342.0,15815095.0,Burfitt,850.0,Spain,Male,54.0,7.0,108185.81,2.0,0.0,0.0,24093.4,1.0
7343.0,15730360.0,Mackenzie,502.0,France,Male,30.0,4.0,0.0,2.0,1.0,1.0,66263.87,0.0
7344.0,15763194.0,Milanesi,643.0,France,Male,34.0,7.0,0.0,2.0,0.0,1.0,100304.13,0.0
7345.0,15720725.0,Shubin,762.0,France,Male,28.0,2.0,0.0,2.0,1.0,0.0,167909.52,0.0
7346.0,15567834.0,Nieves,719.0,France,Male,49.0,5.0,105918.1,1.0,1.0,1.0,16246.59,0.0
7347.0,15720644.0,Martin,789.0,France,Male,27.0,6.0,0.0,2.0,1.0,0.0,103603.65,0.0
7348.0,15811742.0,Jen,553.0,Spain,Male,42.0,7.0,0.0,2.0,1.0,0.0,7680.23,0.0
7340.0,15670646.0,Moore,499.0,Spain,Female,42.0,0.0,147187.84,1.0,1.0,1.0,14868.94,1.0
