RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
719,15696859,Oldham,474,France,Male,45.0,10,0.0,2,0.0,0.0,172175.9,0
720,15653780,Kambinachi,621,France,Female,43.0,5,0.0,1,1.0,1.0,47578.45,0
721,15721658,Fleming,672,Spain,Female,56.0,2,209767.31,2,1.0,1.0,150694.42,1
722,15578761,Cunningham,459,Spain,Female,42.0,6,129634.25,2,1.0,1.0,177683.02,1
723,15736879,Obinna,669,France,Male,23.0,1,0.0,2,0.0,0.0,66088.83,0
724,15571973,Chinwemma,776,France,Female,38.0,2,169824.46,1,1.0,0.0,169291.7,0
725,15626742,Carpenter,694,France,Male,36.0,3,97530.25,1,1.0,1.0,117140.41,0
726,15672692,Yin,787,France,Female,42.0,10,145988.65,2,1.0,1.0,79510.37,0
727,15673570,Olsen,580,France,Male,37.0,9,0.0,2,0.0,1.0,77108.66,0
728,15767432,Ts'ai,711,France,Female,25.0,7,0.0,3,1.0,1.0,9679.28,0
729,15654238,Jen,673,France,Female,40.0,5,137494.28,1,1.0,0.0,81753.92,0
730,15612525,Preston,499,France,Female,57.0,1,0.0,1,0.0,0.0,131372.38,1
731,15812750,Ozioma,591,France,Male,24.0,6,147360.0,1,1.0,1.0,25310.82,0
732,15790757,Cody,769,France,Female,25.0,10,0.0,2,0.0,0.0,187925.75,0
733,15723873,Ponomarev,657,Spain,Male,31.0,3,125167.02,1,0.0,0.0,98820.39,0
734,15744607,Martin,738,Germany,Male,43.0,9,121152.05,2,1.0,0.0,64166.7,1
735,15612966,Milani,545,Germany,Female,60.0,7,128981.07,1,0.0,1.0,176924.21,1
736,15784209,Tang,497,France,Male,47.0,6,0.0,1,1.0,1.0,90055.08,0
737,15794278,Romani,816,Spain,Male,67.0,6,151858.98,1,1.0,1.0,72814.31,0
738,15766741,McIntyre,525,France,Male,36.0,2,114628.4,1,0.0,1.0,168290.06,0
