RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
2630.0,15711789.0,Davey,768.0,Spain,Female,42.0,3.0,0.0,1.0,0.0,0.0,161242.99,1.0
2631.0,15600879.0,Parsons,554.0,Germany,Female,36.0,3.0,157780.93,2.0,1.0,0.0,6089.13,0.0
2632.0,15681196.0,Chikere,629.0,France,Male,35.0,1.0,172170.36,1.0,1.0,1.0,159777.37,0.0
2633.0,15716000.0,Hs?eh,638.0,Spain,Male,48.0,2.0,0.0,2.0,1.0,1.0,7919.08,0.0
2634.0,15766776.0,Sal,576.0,France,Male,41.0,1.0,0.0,1.0,1.0,1.0,188274.6,0.0
2635.0,15680278.0,Ts'ai,661.0,Spain,Female,42.0,9.0,75361.44,1.0,1.0,0.0,27608.12,1.0
2636.0,15688637.0,Witt,592.0,France,Female,27.0,4.0,0.0,2.0,1.0,1.0,183569.25,0.0
2637.0,15591179.0,Skelton,702.0,Spain,Male,30.0,2.0,0.0,2.0,1.0,1.0,145537.32,0.0
2638.0,15677435.0,Kazantseva,647.0,France,Female,29.0,0.0,98263.46,2.0,1.0,0.0,164717.95,0.0
2639.0,15698619.0,Bowhay,593.0,France,Male,43.0,9.0,0.0,2.0,1.0,1.0,76357.43,0.0
2640.0,15581036.0,Beyer,712.0,Germany,Female,40.0,3.0,109308.79,2.0,1.0,0.0,120158.72,1.0
,,,,,,,,,,,,,
2635.0,15680278.0,Ts'ai,661.0,Spain,Female,42.0,9.0,75361.44,1.0,1.0,0.0,27608.12,1.0
