RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
8882,15618647,Kornilova,744,France,Male,29.0,1,43504.42,1,1.0,1.0,119327.75,0
8883,15614643,Chifo,731,Spain,Female,39.0,2,0.0,2,1.0,0.0,136737.13,0
8884,15707696,Lu,471,Spain,Female,28.0,5,0.0,2,1.0,1.0,22356.97,0
8885,15749583,Bellucci,686,Germany,Female,38.0,2,93569.86,3,0.0,0.0,10137.34,1
8886,15815125,Michael,668,Spain,Male,45.0,4,102486.21,2,1.0,1.0,158379.25,0
8887,15779620,Sinclair,575,France,Male,36.0,1,0.0,1,0.0,1.0,94570.56,0
8888,15768233,Chukwuebuka,435,Germany,Male,37.0,8,114346.3,1,0.0,1.0,980.93,1
8889,15637788,Schmidt,743,France,Male,23.0,3,110203.77,1,1.0,0.0,95583.45,0
8890,15777046,Parry,580,France,Female,39.0,9,128362.59,1,1.0,0.0,86044.98,0
8891,15788723,McIntyre,599,Germany,Female,49.0,10,143888.22,2,1.0,1.0,166236.38,1
8892,15790489,Lo Duca,534,Spain,Male,34.0,5,170600.78,1,0.0,1.0,5240.53,0
8893,15739476,Ferrari,680,France,Female,32.0,5,0.0,1,1.0,1.0,150684.23,0
8894,15612670,Berry,631,Spain,Female,46.0,10,0.0,2,1.0,1.0,129508.96,0
8895,15631222,Cattaneo,485,France,Female,39.0,2,75339.64,1,1.0,1.0,70665.16,0
8896,15658972,Foster,699,France,Female,40.0,8,122038.34,1,1.0,0.0,102085.35,0
8897,15724691,Gordon,712,France,Male,34.0,1,0.0,2,1.0,1.0,195052.12,0
8898,15740442,May,603,France,Male,51.0,8,186825.57,1,1.0,0.0,93739.71,1
8899,15760427,Cameron,850,France,Male,40.0,6,124788.18,1,1.0,0.0,65612.12,0
8900,15677939,Ch'eng,584,France,Female,41.0,3,0.0,2,1.0,1.0,160095.48,0
8901,15611599,Curtis,604,France,Female,71.0,2,0.0,2,1.0,1.0,49506.82,0
